COUNTY,pcp,cardio
10001,211,23
10003,862,58
10005,262,19
1001,42,NA
1003,236,8
1005,12,NA
1007,46,NA
1009,112,3
1011,50,NA
1013,17,NA
1015,107,5
1017,82,8
1019,132,12
1021,21,3
1023,9,NA
1025,21,NA
1027,28,NA
1029,54,4
1031,81,1
1033,114,3
1035,83,NA
1037,48,4
1039,49,1
1041,38,NA
1043,159,3
1045,96,1
1047,36,NA
1049,102,4
1051,99,3
1053,60,1
1055,152,15
1057,26,NA
1059,52,NA
1061,183,16
1063,3,NA
1065,15,NA
1067,47,NA
1069,197,16
1071,46,NA
1073,1186,136
1075,32,NA
1077,102,11
1079,49,1
1081,128,8
1083,70,1
1085,36,NA
1087,53,NA
1089,541,46
1091,27,NA
1093,36,NA
1095,127,4
1097,508,61
1099,31,NA
11001,716,116
1101,347,26
1103,196,8
1105,67,NA
1107,26,NA
1109,40,NA
1111,22,NA
1113,24,NA
1115,101,NA
1117,356,45
1119,8,NA
1121,65,1
1123,52,3
1125,260,12
1127,60,NA
1129,10,NA
1131,13,NA
1133,20,NA
12001,528,63
12003,14,NA
12005,268,16
12007,51,1
12009,611,50
12011,1591,180
12013,20,NA
12015,250,30
12017,180,16
12019,254,19
12021,452,41
12023,78,1
12027,25,1
12029,10,NA
12031,1828,162
12033,556,40
12035,287,17
12037,7,1
12039,8,NA
12041,37,NA
12043,12,NA
12045,13,1
12047,1,NA
12049,11,1
12051,46,1
12053,199,14
12055,110,16
12057,1878,152
12059,20,NA
12061,208,28
12063,65,NA
12065,9,NA
12067,11,NA
12069,584,60
12071,1118,71
12073,448,23
12075,40,NA
12077,8,NA
12079,17,NA
12081,391,38
12083,485,59
12085,340,33
12086,2014,288
12087,64,7
12089,66,1
12091,227,10
12093,21,3
12095,1795,144
12097,422,33
12099,1309,171
12101,648,66
12103,1184,111
12105,621,40
12107,61,5
12109,669,59
12111,359,20
12113,135,6
12115,612,65
12117,639,50
12119,256,24
12121,75,1
12123,12,NA
12125,9,NA
12127,641,40
12129,18,NA
12131,146,12
12133,23,NA
13001,19,NA
13003,4,NA
13005,17,NA
13007,18,NA
13009,40,NA
13011,42,NA
13013,96,10
13015,183,8
13017,22,NA
13019,136,4
13021,362,27
13023,22,1
13025,11,NA
13027,120,3
13029,21,NA
13031,84,7
13033,15,NA
13035,97,2
13037,8,NA
13039,44,NA
13043,9,NA
13045,138,9
13047,58,2
13049,8,NA
13051,347,28
13053,9,NA
13055,217,12
13057,360,30
13059,189,28
13061,11,NA
13063,248,30
13065,6,NA
13067,842,69
13069,64,6
13071,55,2
13073,234,3
13075,12,NA
13077,158,3
13079,19,NA
13081,36,NA
13083,9,NA
13085,89,2
13087,40,NA
13089,945,95
13091,22,1
13093,46,1
13095,174,7
13097,248,17
13099,26,NA
13101,1,NA
13103,24,NA
13105,10,NA
13107,74,5
13109,13,NA
13111,65,7
13113,168,20
13115,338,15
13117,347,31
13119,47,NA
13121,1887,193
13123,131,3
13127,92,8
13129,80,3
13131,120,8
13133,76,1
13135,931,69
13137,51,NA
13139,524,50
13141,38,NA
13143,43,NA
13145,11,NA
13147,30,NA
13149,77,6
13151,263,19
13153,144,11
13155,17,NA
13157,140,10
13159,49,7
13161,29,NA
13163,4,NA
13165,4,NA
13167,4,NA
13169,81,1
13171,71,2
13173,20,NA
13175,47,2
13177,165,7
13179,51,NA
13181,1,NA
13183,34,NA
13185,131,3
13187,113,7
13189,19,NA
13191,4,NA
13193,35,2
13195,28,NA
13197,3,NA
13199,23,NA
13201,25,NA
13205,12,NA
13207,120,2
13209,41,5
13211,27,NA
13213,55,1
13215,302,18
13217,135,4
13219,230,29
13221,5,NA
13223,257,16
13225,30,2
13227,83,3
13229,18,NA
13231,57,2
13233,40,NA
13235,24,1
13237,47,3
13239,1,NA
13241,17,NA
13243,8,NA
13245,449,65
13247,304,23
13249,16,1
13251,8,NA
13253,20,NA
13255,97,2
13257,27,NA
13259,3,NA
13261,30,1
13263,3,NA
13265,3,NA
13267,17,NA
13269,4,NA
13271,4,NA
13273,7,NA
13275,114,8
13277,130,4
13279,44,5
13281,22,NA
13283,43,5
13285,66,6
13287,5,NA
13289,35,1
13291,42,7
13293,39,1
13295,87,2
13297,209,9
13299,78,3
13301,19,NA
13303,18,NA
13305,27,1
13307,6,NA
13311,58,NA
13313,167,10
13315,51,NA
13317,4,NA
13319,70,2
13321,61,2
15001,153,4
15003,604,66
15007,50,1
15009,120,12
16001,969,42
16003,12,NA
16005,163,4
16007,10,NA
16009,13,NA
16011,218,9
16013,19,1
16015,18,NA
16017,32,5
16019,203,9
16021,12,NA
16025,4,NA
16027,234,13
16029,4,NA
16031,40,NA
16035,14,NA
16037,5,NA
16039,23,NA
16041,3,NA
